"Priority","Category","Extension","SizeBytes","HasYamlHeader","LastModified","RelativePath","Action"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\architecture-series\boundary-impact-model.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\architecture-series\drift-engine.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\architecture-series\evidence-chain.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\architecture-series\six-plane-architecture.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\architecture-series\three-layer-rule-model.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\case-studies\cloud-boundary-case-study.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\case-studies\federal-modernization-case-study.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\case-studies\identity-modernization-case-study.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\_template\generic-template.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\cloud\cloud.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\identity\identity.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\sase\sase.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\sdwan\sdwan.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\telemetry\telemetry.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\modernization-specs\zero-trust\zero-trust.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\_template\generic-template.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\cloud\cloud.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\identity\identity.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\sase\sase.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\sdwan\sdwan.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\telemetry\telemetry.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\validation-suites\domains\zero-trust\zero-trust.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\whitepapers\modernization-governance-whitepaper.md","DECIDE: write content, promote to shell .qmd, or delete"
"2","SHELL",".md","0","False","2026-04-23","docs\customer-documents\whitepapers\scubagear-integration-whitepaper.md","DECIDE: write content, promote to shell .qmd, or delete"
